City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lobito,AO,77.07,broken clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
2,Bredasdorp,ZA,67.32,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
3,Muros,ES,55.83,clear sky,42.7762,-9.0603,Apartment Av. Castelao
12,Hermanus,ZA,73.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Bluff,NZ,51.8,clear sky,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
18,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
21,Mahanoro,MG,76.51,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
26,Cabo San Lucas,MX,85.3,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
28,Cidreira,BR,70.32,overcast clouds,-30.1811,-50.2056,Hotel Castelo
29,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
30,Castro,BR,81.64,clear sky,-24.7911,-50.0119,CHACARA BAILLY
33,Port Alfred,ZA,72.9,overcast clouds,-33.5906,26.891,The Halyards Hotel
34,Deniliquin,AU,75.0,scattered clouds,-35.5333,144.9667,Riviana Motel
35,Samfya,ZM,65.08,overcast clouds,-11.3649,29.5565,Chita Lodge Samfya
36,Hwange,ZW,70.63,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
38,Faanui,PF,80.82,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
39,Rikitea,PF,78.26,light rain,-23.1203,-134.9692,People ThankYou
40,Ondjiva,AO,68.72,light rain,-17.0667,15.7333,COMBUESA
41,Busselton,AU,63.05,clear sky,-33.65,115.3333,Observatory Guest House
43,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
45,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
52,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
54,Lata,PT,53.82,broken clouds,40.1629,-8.3327,Casa Maquia
57,Mahemdavad,IN,62.85,clear sky,22.8333,72.7667,Shalvi Infracon pvt ltd Grass court Greens
58,Talcahuano,CL,64.08,scattered clouds,-36.7167,-73.1167,departamento comodo
59,Mataura,NZ,51.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
60,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
62,Esperance,AU,61.59,clear sky,-33.8667,121.9,Hospitality Esperance
63,Chino Valley,US,71.01,clear sky,34.7575,-112.4538,Primrose Inn & Suites
66,Lebu,CL,65.7,broken clouds,-37.6167,-73.65,Hostal Las Lilas
67,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
68,Nador,MA,53.85,clear sky,35.174,-2.9287,Hôtel La Giralda
70,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
72,Chake Chake,TZ,77.67,broken clouds,-5.2459,39.7666,Hotel Archipelago
73,Vila Franca Do Campo,PT,61.2,clear sky,37.7167,-25.4333,Pestana Bahia Praia
74,Carballo,ES,51.76,scattered clouds,43.213,-8.691,Pazo do Souto
76,Kapaa,US,77.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Jiwani,PK,71.46,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
79,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
80,East London,ZA,73.54,broken clouds,-33.0153,27.9116,Tu Casa
82,Biak,ID,75.24,overcast clouds,-0.9131,122.8766,Penginapan Kim
83,Saint George,US,70.54,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
84,Kavaratti,IN,80.55,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
85,Vaini,TO,80.62,light rain,-21.2,-175.2,Keleti Beach Resort
87,Mayumba,GA,78.31,light rain,-3.432,10.6554,LIKWALE LODGE
88,Port Blair,IN,73.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
89,Hilo,US,77.25,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
90,Kalangala,UG,72.75,overcast clouds,-0.3089,32.225,Ssese Habitat Resort
91,Haimen,CN,55.29,light rain,23.1935,116.6142,Jinghao Business Hotel
92,Christchurch,NZ,57.9,broken clouds,-43.5333,172.6333,The George
94,Kirakira,SB,79.48,moderate rain,-10.4544,161.9205,SanBiz Lodge
95,Hobart,AU,60.66,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
96,Ancud,CL,79.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
98,Guanica,PR,84.51,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
100,Waddan,LY,55.78,clear sky,29.1614,16.139,محل الشريف محمد العايب
101,Emerald,AU,69.94,clear sky,-23.5333,148.1667,The Irish Village
102,Sompeta,IN,65.39,scattered clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
103,Nortelandia,BR,80.17,heavy intensity rain,-14.4547,-56.8028,Hotel Karysmã
104,Spearfish,US,56.01,broken clouds,44.4908,-103.8594,Travelodge by Wyndham Spearfish
105,Atuona,PF,77.54,light rain,-9.8,-139.0333,Villa Enata
106,Kruisfontein,ZA,65.23,few clouds,-34.0033,24.7314,Oyster Bay House Rental
107,Kagoro,NG,75.06,few clouds,9.6,8.3833,Palm Garden Hotel
108,Punta Arenas,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Hain
110,Alyangula,AU,73.27,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
111,Pangkalanbuun,ID,74.68,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
112,Port Elizabeth,ZA,70.09,clear sky,-33.918,25.5701,39 On Nile Guest House
113,Bol,TD,76.98,clear sky,13.4586,14.7147,Hotel 3 Etoiles
114,Namibe,AO,75.52,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
115,Sambava,MG,76.73,moderate rain,-14.2667,50.1667,Melrose
116,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
118,Hithadhoo,MV,82.15,broken clouds,-0.6,73.0833,Scoop Guest House
120,Kaitangata,NZ,50.0,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
125,Tocopilla,CL,73.36,overcast clouds,-22.092,-70.1979,Hotel Galvarino
127,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
128,Tan An,VN,78.82,few clouds,10.5333,106.4167,Khách Sạn Quỳnh Anh
129,Meadow Lake,US,57.97,clear sky,34.8014,-106.5436,TumbleWeed RV Park
131,Whithorn,JM,81.66,scattered clouds,18.2604,-78.0378,Sunset Heal
134,Bodden Town,KY,84.99,broken clouds,19.2833,-81.25,Will T Place
135,Samarai,PG,80.15,scattered clouds,-10.6167,150.6667,Nuli Sapi
136,Kudahuvadhoo,MV,81.55,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
140,Totness,SR,80.28,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
141,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
142,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
144,Baghdad,IQ,51.71,clear sky,33.3406,44.4009,Baghdad Hotel
148,Sola,VU,82.11,overcast clouds,-13.8833,167.55,Leumerus Bungalows
151,Dwarka,IN,70.09,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
152,Porto Santo,PT,60.71,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
153,Macas,EC,80.35,broken clouds,-2.3167,-78.1167,Casa Upano
154,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
155,Ribeira Grande,PT,57.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
156,Sinazongwe,ZM,76.71,scattered clouds,-17.2614,27.4618,Lakeview Lodge
158,Betera,ES,57.81,clear sky,39.5833,-0.45,Hotel Mas Camarena
159,Clovis,US,83.46,scattered clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
161,Victoria,HK,61.25,overcast clouds,22.2855,114.1577,Mini Hotel Central
163,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
167,Samarinda,ID,72.27,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
168,Saurimo,AO,65.25,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
169,Nyimba,ZM,67.91,light rain,-14.5566,30.8149,Dali Dali Lodge
170,Amarante Do Maranhao,BR,75.56,moderate rain,-5.5667,-46.7422,Hotéis Caçulinha
175,Katobu,ID,73.78,broken clouds,-4.9408,122.5276,La Ode Husein
176,Bria,CF,79.47,few clouds,6.5423,21.9863,WFP Guesthouse
178,Tabou,CI,78.48,scattered clouds,4.423,-7.3528,hotêl doufoulougou
179,Isangel,VU,80.71,volcanic ash,-19.55,169.2667,Tanna Lodge
180,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
182,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
183,Codrington,AU,59.86,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
184,Constitucion,CL,67.98,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
185,Lompoc,US,85.1,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
186,Praia Da Vitoria,PT,57.76,broken clouds,38.7333,-27.0667,Hotel Branco I
188,Lagoa,PT,56.43,overcast clouds,39.05,-27.9833,Casa Das Faias
189,Conceicao Do Araguaia,BR,81.16,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
190,Santa Cruz De La Palma,ES,65.14,few clouds,28.6835,-17.7642,H10 Taburiente Playa
191,Portland,US,62.28,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
194,San Patricio,US,65.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
195,New Norfolk,AU,60.3,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
198,Zwedru,LR,75.58,overcast clouds,6.0667,-8.1281,Elijah Worjloh
200,Sidhi,IN,54.54,clear sky,24.4167,81.8833,Kamdhenu Sweets
201,Arraial Do Cabo,BR,80.56,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
203,Hambantota,LK,75.99,overcast clouds,6.1241,81.1185,Bungalow 63
205,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
206,Tartus,SY,52.41,clear sky,34.889,35.8866,خيمة نبراس للاجئين
207,Kavieng,PG,80.74,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
209,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
210,Auki,SB,77.22,overcast clouds,-8.7676,160.7034,Auki Motel
214,Praya,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
218,Labrea,BR,76.03,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
