City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Haines Junction,CA,60.7522,-137.5108,19.35,73,100,0.0,overcast clouds
1,Lobito,AO,-12.3481,13.5456,77.07,81,82,3.44,broken clouds
2,Bredasdorp,ZA,-34.5322,20.0403,67.32,77,92,12.66,overcast clouds
3,Muros,ES,42.7762,-9.0603,55.83,73,9,18.28,clear sky
4,Albany,US,42.6001,-73.9662,26.31,53,100,1.01,overcast clouds
5,Saskylakh,RU,71.9167,114.0833,-16.6,86,26,3.22,scattered clouds
6,Segezha,RU,63.7415,34.3222,28.9,95,100,14.81,light snow
7,Yellowknife,CA,62.456,-114.3525,-10.59,67,20,4.61,few clouds
8,Usatove,UA,46.533,30.6596,26.82,93,93,0.0,overcast clouds
9,Aitape,PG,-3.1374,142.3475,77.36,89,100,4.45,overcast clouds
10,Gornyy,RU,55.1153,83.9059,19.47,94,100,14.65,light snow
11,Ushuaia,AR,-54.8,-68.3,40.66,81,75,37.98,light rain
12,Hermanus,ZA,-34.4187,19.2345,73.9,83,26,16.22,scattered clouds
13,Muzhi,RU,65.3667,64.6667,-16.24,100,98,0.07,overcast clouds
14,Dikson,RU,73.5069,80.5464,-4.09,87,100,25.34,overcast clouds
15,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,75,4.61,mist
16,Bluff,NZ,-46.6,168.3333,51.8,87,9,6.11,clear sky
17,Tasiilaq,GL,65.6145,-37.6368,19.56,71,100,9.89,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,80.56,88,87,5.01,overcast clouds
19,Druskininkai,LT,54.0167,23.9667,32.31,66,80,10.96,broken clouds
20,Avarua,CK,-21.2078,-159.775,82.45,74,20,2.3,few clouds
21,Mahanoro,MG,-19.9,48.8,76.51,89,39,6.46,light rain
22,Zubtsov,RU,56.1753,34.5894,24.57,82,100,12.39,overcast clouds
23,Ygatimi,PY,-24.0833,-55.5,98.31,24,53,6.55,broken clouds
24,Vardo,NO,70.3705,31.1107,26.58,59,75,25.32,broken clouds
25,Svetlyy,RU,54.675,20.1347,35.65,73,100,16.53,overcast clouds
26,Cabo San Lucas,MX,22.8909,-109.9124,85.3,56,75,8.05,broken clouds
27,Clyde River,CA,70.4692,-68.5914,-23.57,69,75,16.11,broken clouds
28,Cidreira,BR,-30.1811,-50.2056,70.32,91,100,7.7,overcast clouds
29,Saint-Joseph,RE,-21.3667,55.6167,79.18,84,16,8.88,few clouds
30,Castro,BR,-24.7911,-50.0119,81.64,52,6,2.91,clear sky
31,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,75,3.44,broken clouds
32,Jumla,NP,29.2747,82.1838,29.03,76,1,6.62,clear sky
33,Port Alfred,ZA,-33.5906,26.891,72.9,84,96,10.2,overcast clouds
34,Deniliquin,AU,-35.5333,144.9667,75.0,42,38,7.61,scattered clouds
35,Samfya,ZM,-11.3649,29.5565,65.08,93,100,4.18,overcast clouds
36,Hwange,ZW,-18.3693,26.5019,70.63,70,2,1.03,clear sky
37,Turukhansk,RU,65.8167,87.9833,-7.42,88,17,11.41,few clouds
38,Faanui,PF,-16.4833,-151.75,80.82,74,100,15.28,light rain
39,Rikitea,PF,-23.1203,-134.9692,78.26,72,76,12.1,light rain
40,Ondjiva,AO,-17.0667,15.7333,68.72,86,100,3.91,light rain
41,Busselton,AU,-33.65,115.3333,63.05,75,0,11.5,clear sky
42,Porosozero,RU,62.7191,32.727,27.86,95,100,12.71,snow
43,Yulara,AU,-25.2406,130.9889,66.04,42,3,9.22,clear sky
44,Misawa,JP,40.6836,141.3597,18.14,85,22,8.23,few clouds
45,Mahebourg,MU,-20.4081,57.7,81.25,89,40,8.05,scattered clouds
46,Pevek,RU,69.7008,170.3133,-17.43,98,100,8.88,overcast clouds
47,Klaksvik,FO,62.2266,-6.589,32.92,66,100,30.33,overcast clouds
48,Sorland,NO,67.667,12.6934,33.66,59,100,25.84,light snow
49,Jamestown,US,42.097,-79.2353,22.32,39,100,3.0,overcast clouds
50,Nikolskoye,RU,59.7035,30.7861,32.88,89,100,12.95,light snow
51,Sandwick,GB,60.0,-1.25,39.02,93,75,5.75,broken clouds
52,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,34,7.47,scattered clouds
53,Krutikha,RU,53.9599,81.2093,23.11,92,99,14.29,overcast clouds
54,Lata,PT,40.1629,-8.3327,53.82,97,54,5.64,broken clouds
55,Longyearbyen,SJ,78.2186,15.6401,15.64,86,75,3.44,light snow
56,Saint-Augustin,CA,51.226,-58.6502,1.92,75,1,11.39,clear sky
57,Mahemdavad,IN,22.8333,72.7667,62.85,27,0,7.43,clear sky
58,Talcahuano,CL,-36.7167,-73.1167,64.08,72,40,17.27,scattered clouds
59,Mataura,NZ,-46.1927,168.8643,51.48,97,27,2.95,scattered clouds
60,Cape Town,ZA,-33.9258,18.4232,69.12,83,20,23.02,few clouds
61,Kodiak,US,57.79,-152.4072,36.91,70,0,0.0,clear sky
62,Esperance,AU,-33.8667,121.9,61.59,74,0,10.65,clear sky
63,Chino Valley,US,34.7575,-112.4538,71.01,12,0,4.61,clear sky
64,Khatanga,RU,71.9667,102.5,-24.38,93,83,2.77,broken clouds
65,Bethel,US,41.3712,-73.414,31.19,69,100,9.22,overcast clouds
66,Lebu,CL,-37.6167,-73.65,65.7,72,84,11.63,broken clouds
67,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,1.14,broken clouds
68,Nador,MA,35.174,-2.9287,53.85,76,0,2.3,clear sky
69,Sobreira,PT,41.5237,-7.8023,46.6,92,92,9.71,overcast clouds
70,Laguna,US,38.421,-121.4238,80.44,42,0,4.61,clear sky
71,Luderitz,NA,-26.6481,15.1594,75.22,62,0,12.1,clear sky
72,Chake Chake,TZ,-5.2459,39.7666,77.67,81,64,8.03,broken clouds
73,Vila Franca Do Campo,PT,37.7167,-25.4333,61.2,74,2,5.32,clear sky
74,Carballo,ES,43.213,-8.691,51.76,91,32,8.3,scattered clouds
75,Talnakh,RU,69.4865,88.3972,-7.26,70,17,9.15,few clouds
76,Kapaa,US,22.0752,-159.319,77.11,70,40,13.8,scattered clouds
77,Jiwani,PK,25.05,61.7417,71.46,68,98,5.99,overcast clouds
78,Langham,CA,52.3668,-106.9679,26.02,92,77,11.83,light snow
79,Alofi,NU,-19.0595,-169.9187,82.29,74,40,10.36,scattered clouds
80,East London,ZA,-33.0153,27.9116,73.54,82,71,8.32,broken clouds
81,Qaanaaq,GL,77.484,-69.3632,-7.82,89,100,2.95,overcast clouds
82,Biak,ID,-0.9131,122.8766,75.24,85,100,4.79,overcast clouds
83,Saint George,US,37.1041,-113.5841,70.54,17,0,1.99,clear sky
84,Kavaratti,IN,10.5669,72.642,80.55,72,66,5.06,broken clouds
85,Vaini,TO,-21.2,-175.2,80.62,76,77,18.43,light rain
86,Ercis,TR,39.0287,43.3586,17.2,68,100,4.83,overcast clouds
87,Mayumba,GA,-3.432,10.6554,78.31,87,100,4.65,light rain
88,Port Blair,IN,11.6667,92.75,73.44,78,20,2.3,mist
89,Hilo,US,19.7297,-155.09,77.25,75,75,8.05,broken clouds
90,Kalangala,UG,-0.3089,32.225,72.75,69,90,9.37,overcast clouds
91,Haimen,CN,23.1935,116.6142,55.29,91,100,8.03,light rain
92,Christchurch,NZ,-43.5333,172.6333,57.9,89,75,8.05,broken clouds
93,Zhicheng,CN,30.2956,111.5047,40.42,92,40,2.39,scattered clouds
